更新时间,#genre#
2026/05/12 18:34,http://127.0.0.1

央视频道,#genre#
CCTV-8,http://183.220.20.17:4321/rtp/239.11.0.103:5140
CCTV-8,http://106.59.2.72:55555/udp/239.200.200.23:9028
CCTV-8,http://219.156.112.83:4022/rtp/225.1.4.161:1197
CCTV-8,http://220.172.21.89:4022/rtp/238.255.2.136:5999
CCTV-8,http://220.172.23.183:4022/rtp/238.255.2.136:5999
CCTV-8,http://61.159.134.150:8188/rtp/238.255.2.136:5999
CCTV-8,http://121.29.215.217:2083/rtp/239.253.92.195:6060
CCTV-8,http://60.4.28.155:8077/rtp/239.253.92.195:6060
CCTV-8,http://111.196.132.71:20000/rtp/239.3.1.175:8001
CCTV-8,http://123.118.53.151:8686/rtp/239.3.1.175:8001
CCTV-8,http://123.118.53.173:8686/rtp/239.3.1.175:8001
CCTV-8,http://221.220.133.100:8012/rtp/239.3.1.175:8001
CCTV-8,http://112.109.206.238:9999/rtp/239.255.40.197:8208
CCTV-9,http://223.167.230.73:4022/rtp/239.45.3.4:5140
CCTV-9,http://114.254.35.180:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.254.36.134:8888/rtp/239.3.1.62:8112
CCTV-9,http://114.254.84.173:8888/rtp/239.3.1.62:8112
CCTV-9,http://171.8.168.12:8800/rtp/239.16.20.9:10090
CCTV-9,http://171.8.84.114:8800/rtp/239.16.20.9:10090
CCTV-9,http://112.192.72.187:8484/rtp/239.0.0.18:5140
CCTV-9,http://220.167.170.155:4000/rtp/239.120.1.227:9496
CCTV-9,http://115.171.216.26:4000/rtp/225.1.8.9:8112
CCTV-9,http://115.171.216.46:4000/rtp/225.1.8.9:8112
CCTV-9,http://112.19.88.97:8899/rtp/239.11.0.111:5140
CCTV-9,http://183.220.20.17:4321/rtp/239.11.0.111:5140
CCTV-9,http://106.59.2.72:55555/udp/239.200.200.106:8112
CCTV-9,http://219.156.112.83:4022/rtp/225.1.4.77:1106
CCTV-9,http://220.172.21.89:4022/rtp/238.255.2.155:5999
CCTV-9,http://220.172.23.183:4022/rtp/238.255.2.155:5999
CCTV-9,http://61.159.134.150:8188/rtp/238.255.2.155:5999
CCTV-9,http://121.29.215.217:2083/rtp/239.253.92.107:6020
CCTV-9,http://60.4.28.155:8077/rtp/239.253.92.107:6020
CCTV-9,http://111.196.132.71:20000/rtp/239.3.1.62:8112
CCTV-9,http://123.118.53.151:8686/rtp/239.3.1.62:8112
CCTV-9,http://123.118.53.173:8686/rtp/239.3.1.62:8112
CCTV-9,http://221.220.133.100:8012/rtp/239.3.1.62:8112
CCTV-9,http://112.109.206.238:9999/rtp/239.255.40.38:8208
CCTV-10,http://223.167.230.73:4022/rtp/239.45.3.8:5140
CCTV-10,http://114.254.35.180:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.254.36.134:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.254.84.173:8888/rtp/239.3.1.63:8116
CCTV-10,http://171.8.168.12:8800/rtp/239.16.20.10:10100
CCTV-10,http://171.8.84.114:8800/rtp/239.16.20.10:10100
CCTV-10,http://112.192.72.187:8484/rtp/239.0.0.19:5140
CCTV-10,http://220.167.170.155:4000/rtp/239.120.1.250:9448
CCTV-10,http://115.171.216.26:4000/rtp/225.1.8.10:8116
CCTV-10,http://115.171.216.46:4000/rtp/225.1.8.10:8116
CCTV-10,http://112.19.88.97:8899/rtp/239.11.0.112:5140
CCTV-10,http://183.220.20.17:4321/rtp/239.11.0.112:5140
CCTV-10,http://106.59.2.72:55555/rtp/239.200.200.107:8116
CCTV-10,http://219.156.112.83:4022/rtp/225.1.4.78:1107
CCTV-10,http://220.172.21.89:4022/rtp/238.255.2.13:5999
CCTV-10,http://220.172.23.183:4022/rtp/238.255.2.13:5999
CCTV-10,http://61.159.134.150:8188/rtp/238.255.2.13:5999
CCTV-10,http://121.29.215.217:2083/rtp/239.253.92.196:6061
CCTV-10,http://60.4.28.155:8077/rtp/239.253.92.196:6061
CCTV-10,http://111.196.132.71:20000/rtp/239.3.1.63:8116
CCTV-10,http://123.118.53.151:8686/rtp/239.3.1.63:8116
CCTV-10,http://123.118.53.173:8686/rtp/239.3.1.63:8116
CCTV-10,http://221.220.133.100:8012/rtp/239.3.1.63:8116
CCTV-10,http://112.109.206.238:9999/rtp/239.255.40.39:8208
CCTV-11,http://223.167.230.73:4022/rtp/239.45.1.196:5140
CCTV-11,http://114.254.35.180:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.254.36.134:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.254.84.173:8888/rtp/239.3.1.152:8120
CCTV-11,http://171.8.168.12:8800/rtp/239.16.20.11:10110
CCTV-11,http://171.8.84.114:8800/rtp/239.16.20.11:10110
CCTV-11,http://112.192.72.187:8484/rtp/239.0.0.187:5140
CCTV-11,http://220.167.170.155:4000/rtp/239.120.1.163:9036
CCTV-11,http://115.171.216.26:4000/rtp/225.1.8.73:8120
CCTV-11,http://115.171.216.46:4000/rtp/225.1.8.73:8120
CCTV-11,http://112.19.88.97:8899/rtp/239.11.0.22:5140
CCTV-11,http://183.220.20.17:4321/rtp/239.11.0.22:5140
CCTV-11,http://106.59.2.72:55555/rtp/239.200.201.125:8480
CCTV-11,http://219.156.112.83:4022/rtp/225.1.4.215:1268
CCTV-11,http://220.172.21.89:4022/rtp/238.255.2.14:5999
CCTV-11,http://220.172.23.183:4022/rtp/238.255.2.14:5999
CCTV-11,http://61.159.134.150:8188/rtp/238.255.2.14:5999
CCTV-11,http://121.29.215.217:2083/rtp/239.253.93.153:6321
CCTV-11,http://60.4.28.155:8077/rtp/239.253.93.153:6321
CCTV-11,http://111.196.132.71:20000/rtp/239.3.1.152:8120
CCTV-11,http://123.118.53.151:8686/rtp/239.3.1.152:8120
CCTV-11,http://123.118.53.173:8686/rtp/239.3.1.152:8120
CCTV-11,http://221.220.133.100:8012/rtp/239.3.1.152:8120
CCTV-11,http://112.109.206.238:9999/rtp/239.255.40.2:8208
CCTV-12,http://223.167.230.73:4022/rtp/239.45.3.10:5140
CCTV-12,http://114.254.35.180:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.254.36.134:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.254.84.173:8888/rtp/239.3.1.64:8124
CCTV-12,http://171.8.168.12:8800/rtp/239.16.20.12:10120
CCTV-12,http://171.8.84.114:8800/rtp/239.16.20.12:10120
CCTV-12,http://112.192.72.187:8484/rtp/239.0.0.20:5140
CCTV-12,http://220.167.170.155:4000/rtp/239.120.1.230:9502
CCTV-12,http://115.171.216.26:4000/rtp/225.1.8.12:8124
CCTV-12,http://115.171.216.46:4000/rtp/225.1.8.12:8124
CCTV-12,http://112.19.88.97:8899/rtp/239.11.0.113:5140
CCTV-12,http://183.220.20.17:4321/rtp/239.11.0.113:5140
CCTV-12,http://106.59.2.72:55555/udp/239.200.200.108:8124
CCTV-12,http://219.156.112.83:4022/rtp/225.1.4.79:1108
CCTV-12,http://220.172.21.89:4022/rtp/238.255.2.15:5999
CCTV-12,http://220.172.23.183:4022/rtp/238.255.2.15:5999
CCTV-12,http://61.159.134.150:8188/rtp/238.255.2.15:5999
CCTV-12,http://121.29.215.217:2083/rtp/239.253.92.197:6062
CCTV-12,http://60.4.28.155:8077/rtp/239.253.92.197:6062
CCTV-12,http://111.196.132.71:20000/rtp/239.3.1.64:8124
CCTV-12,http://123.118.53.151:8686/rtp/239.3.1.64:8124
CCTV-12,http://123.118.53.173:8686/rtp/239.3.1.64:8124
CCTV-12,http://221.220.133.100:8012/rtp/239.3.1.64:8124
CCTV-12,http://112.109.206.238:9999/rtp/239.255.40.40:8208
CCTV-13,http://223.167.230.73:4022/rtp/239.45.1.198:5140
CCTV-13,http://114.254.35.180:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.254.36.134:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.254.84.173:8888/rtp/239.3.1.124:8128
CCTV-13,http://171.8.168.12:8800/rtp/239.16.20.13:10130
CCTV-13,http://171.8.84.114:8800/rtp/239.16.20.13:10130
CCTV-13,http://112.192.72.187:8484/rtp/239.0.0.190:5140
CCTV-13,http://220.167.170.155:4000/rtp/239.120.1.165:9048
CCTV-13,http://115.171.216.26:4000/rtp/225.1.8.168:8130
CCTV-13,http://115.171.216.46:4000/rtp/225.1.8.168:8130
CCTV-13,http://112.19.88.97:8899/rtp/239.11.0.24:5140
CCTV-13,http://183.220.20.17:4321/rtp/239.11.0.24:5140
CCTV-13,http://106.59.2.72:55555/udp/239.200.201.170:8620
CCTV-13,http://219.156.112.83:4022/rtp/225.1.4.113:1293
CCTV-13,http://220.172.21.89:4022/rtp/238.255.2.16:5999
CCTV-13,http://220.172.23.183:4022/rtp/238.255.2.16:5999
CCTV-13,http://61.159.134.150:8188/rtp/238.255.2.16:5999
CCTV-13,http://121.29.215.217:2083/rtp/239.253.92.13:8008
CCTV-13,http://60.4.28.155:8077/rtp/239.253.92.13:8008
CCTV-13,http://111.196.132.71:20000/rtp/239.3.1.124:8128
CCTV-13,http://123.118.53.151:8686/rtp/239.3.1.124:8128
CCTV-13,http://123.118.53.173:8686/rtp/239.3.1.124:8128
CCTV-13,http://221.220.133.100:8012/rtp/239.3.1.124:8128
CCTV-13,http://112.109.206.238:9999/rtp/239.255.40.3:8208
CCTV-14,http://223.167.230.73:4022/rtp/239.45.3.23:5140
CCTV-14,http://114.254.35.180:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.254.36.134:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.254.84.173:8888/rtp/239.3.1.65:8132
CCTV-14,http://171.8.168.12:8800/rtp/239.16.20.14:10140
CCTV-14,http://171.8.84.114:8800/rtp/239.16.20.14:10140
CCTV-14,http://112.192.72.187:8484/rtp/239.0.0.21:5140
CCTV-14,http://220.167.170.155:4000/rtp/239.120.1.193:8284
CCTV-14,http://115.171.216.26:4000/rtp/225.1.8.14:8132
CCTV-14,http://115.171.216.46:4000/rtp/225.1.8.14:8132
CCTV-14,http://112.19.88.97:8899/rtp/239.11.0.114:5140
CCTV-14,http://183.220.20.17:4321/rtp/239.11.0.114:5140
CCTV-14,http://106.59.2.72:55555/udp/239.200.200.109:8132
CCTV-14,http://219.156.112.83:4022/rtp/225.1.4.80:1109
CCTV-14,http://220.172.21.89:4022/rtp/238.255.2.17:5999
CCTV-14,http://220.172.23.183:4022/rtp/238.255.2.17:5999
CCTV-14,http://61.159.134.150:8188/rtp/238.255.2.17:5999
CCTV-14,http://121.29.215.217:2083/rtp/239.253.92.198:6063
CCTV-14,http://60.4.28.155:8077/rtp/239.253.92.198:6063
CCTV-14,http://111.196.132.71:20000/rtp/239.3.1.65:8132
CCTV-14,http://123.118.53.151:8686/rtp/239.3.1.65:8132
CCTV-14,http://123.118.53.173:8686/rtp/239.3.1.65:8132
CCTV-14,http://221.220.133.100:8012/rtp/239.3.1.65:8132
CCTV-14,http://112.109.206.238:9999/rtp/239.255.40.41:8208
CCTV-15,http://223.167.230.73:4022/rtp/239.45.1.200:5140
CCTV-15,http://114.254.35.180:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.254.36.134:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.254.84.173:8888/rtp/239.3.1.153:8136
CCTV-15,http://171.8.168.12:8800/rtp/239.16.20.15:10150
CCTV-15,http://171.8.84.114:8800/rtp/239.16.20.15:10150
CCTV-15,http://112.192.72.187:8484/rtp/239.0.0.188:5140
CCTV-15,http://220.167.170.155:4000/rtp/239.120.1.167:9060
CCTV-15,http://115.171.216.26:4000/rtp/225.1.8.74:8136
CCTV-15,http://115.171.216.46:4000/rtp/225.1.8.74:8136
CCTV-15,http://112.19.88.97:8899/rtp/239.11.0.26:5140
CCTV-15,http://183.220.20.17:4321/rtp/239.11.0.26:5140
CCTV-15,http://106.59.2.72:55555/rtp/239.200.201.112:8496
CCTV-15,http://219.156.112.83:4022/rtp/225.1.4.216:1269
CCTV-15,http://220.172.21.89:4022/rtp/238.255.2.18:5999
CCTV-15,http://220.172.23.183:4022/rtp/238.255.2.18:5999
CCTV-15,http://61.159.134.150:8188/rtp/238.255.2.18:5999
